# year, O3_pH
2023.6219178082192,8.078033
2023.704109589041,8.089152
2023.7890410958903,8.094227
2023.8712328767124,8.088811
2023.9561643835616,8.076486
2024.0409836065573,8.061309
2024.122950819672,8.039803
2024.204918032787,8.018536
2024.2868852459017,8.013422
2024.3715846994535,8.024333
2024.4535519125684,8.041504
2024.5382513661202,8.066655
2024.622950819672,8.080758
2024.704918032787,8.084107
2024.7896174863388,8.091338
2024.8715846994535,8.0895405
2024.9562841530055,8.079957
2025.041095890411,8.061013
2025.1205479452055,8.042797
2025.2027397260274,8.025071
2025.2849315068493,8.013409
2025.3698630136987,8.030653
2025.4520547945206,8.039951
2025.5369863013698,8.051797
2025.6219178082192,8.065249
2025.704109589041,8.075915
2025.7890410958903,8.080179
2025.8712328767124,8.08993
2025.9561643835616,8.091667
2026.041095890411,8.083174
2026.1205479452055,8.065697
2026.2027397260274,8.045977
2026.2849315068493,8.038537
2026.3698630136987,8.047335
2026.4520547945206,8.055498
2026.5369863013698,8.058681
2026.6219178082192,8.063621
2026.704109589041,8.074084
2026.7890410958903,8.079675
2026.8712328767124,8.079922
2026.9561643835616,8.073481
2027.041095890411,8.054682
2027.1205479452055,8.032108
2027.2027397260274,8.010806
2027.2849315068493,7.9994736
2027.3698630136987,8.007446
2027.4520547945206,8.034111
2027.5369863013698,8.047206
2027.6219178082192,8.052742
2027.704109589041,8.063036
2027.7890410958903,8.073177
2027.8712328767124,8.0807085
2027.9561643835616,8.072421
2028.0409836065573,8.054656
2028.122950819672,8.03215
2028.204918032787,8.009478
2028.2868852459017,8.005112
2028.3715846994535,8.017986
2028.4535519125684,8.033831
2028.5382513661202,8.048355
2028.622950819672,8.057378
2028.704918032787,8.068351
2028.7896174863388,8.0775385
2028.8715846994535,8.082899
2028.9562841530055,8.065387
2029.041095890411,8.042211
2029.1205479452055,8.020767
2029.2027397260274,8.004635
2029.2849315068493,7.995064
2029.3698630136987,8.008274
2029.4520547945206,8.032287
2029.5369863013698,8.046736
2029.6219178082192,8.054628
2029.704109589041,8.061703
2029.7890410958903,8.067607
2029.8712328767124,8.069987
2029.9561643835616,8.070713
2030.041095890411,8.059946
2030.1205479452055,8.036083
2030.2027397260274,8.007069
2030.2849315068493,8.001492
2030.3698630136987,8.01536
2030.4520547945206,8.033082
2030.5369863013698,8.042483
2030.6219178082192,8.048869
2030.704109589041,8.059814
2030.7890410958903,8.063003
2030.8712328767124,8.063507
2030.9561643835616,8.04954
2031.041095890411,8.036753
2031.1205479452055,8.013291
2031.2027397260274,7.9998136
2031.2849315068493,7.990951
2031.3698630136987,8.002335
2031.4520547945206,8.020908
2031.5369863013698,8.03841
2031.6219178082192,8.050837
2031.704109589041,8.058851
2031.7890410958903,8.06154
2031.8712328767124,8.067174
2031.9561643835616,8.0581
2032.0409836065573,8.044737
2032.122950819672,8.026277
2032.204918032787,8.012066
2032.2868852459017,8.011932
2032.3715846994535,8.019456
2032.4535519125684,8.029436
2032.5382513661202,8.045393
2032.622950819672,8.054543
2032.704918032787,8.059209
2032.7896174863388,8.062613
2032.8715846994535,8.055159
2032.9562841530055,8.043998
2033.041095890411,8.026245
2033.1205479452055,8.000619
2033.2027397260274,7.979788
2033.2849315068493,7.977877
2033.3698630136987,7.997341
2033.4520547945206,8.021202
2033.5369863013698,8.029124
2033.6219178082192,8.035072
2033.704109589041,8.046682
2033.7890410958903,8.055916
2033.8712328767124,8.059037
2033.9561643835616,8.050009
2034.041095890411,8.023842
2034.1205479452055,7.9920955
2034.2027397260274,7.980036
2034.2849315068493,7.979073
2034.3698630136987,7.9889727
2034.4520547945206,8.010824
2034.5369863013698,8.026122
2034.6219178082192,8.03206
2034.704109589041,8.036873
2034.7890410958903,8.037762
2034.8712328767124,8.048686
2034.9561643835616,8.048068
2035.041095890411,8.037268
2035.1205479452055,8.019935
2035.2027397260274,8.005254
2035.2849315068493,7.996321
2035.3698630136987,8.002083
2035.4520547945206,8.021327
2035.5369863013698,8.032168
2035.6219178082192,8.041238
2035.704109589041,8.052267
2035.7890410958903,8.058568
2035.8712328767124,8.060472
2035.9561643835616,8.043684
2036.0409836065573,8.017174
2036.122950819672,7.9880495
2036.204918032787,7.9652863
2036.2868852459017,7.970016
2036.3715846994535,7.9875364
2036.4535519125684,8.006134
2036.5382513661202,8.020131
2036.622950819672,8.033793
2036.704918032787,8.037181
2036.7896174863388,8.039578
2036.8715846994535,8.043974
2036.9562841530055,8.033745
2037.041095890411,8.016521
2037.1205479452055,8.002017
2037.2027397260274,7.985622
2037.2849315068493,7.9866047
2037.3698630136987,7.9986887
2037.4520547945206,8.010446
2037.5369863013698,8.024035
2037.6219178082192,8.036056
2037.704109589041,8.042018
2037.7890410958903,8.04831
2037.8712328767124,8.050897
2037.9561643835616,8.034493
2038.041095890411,8.0127735
2038.1205479452055,7.994218
2038.2027397260274,7.975903
2038.2849315068493,7.967535
2038.3698630136987,7.985679
2038.4520547945206,8.001362
2038.5369863013698,8.017804
2038.6219178082192,8.031028
2038.704109589041,8.038978
2038.7890410958903,8.046539
2038.8712328767124,8.052916
2038.9561643835616,8.0484295
2039.041095890411,8.025592
2039.1205479452055,7.9974422
2039.2027397260274,7.978573
2039.2849315068493,7.9715033
2039.3698630136987,7.9825635
2039.4520547945206,7.995839
2039.5369863013698,8.008876
2039.6219178082192,8.014507
2039.704109589041,8.020715
2039.7890410958903,8.023943
2039.8712328767124,8.016813
2039.9561643835616,8.009813
2040.0409836065573,8.001568
2040.122950819672,7.982505
2040.204918032787,7.9612956
2040.2868852459017,7.9625015
2040.3715846994535,7.978507
2040.4535519125684,7.994288
2040.5382513661202,8.01318
2040.622950819672,8.026009
2040.704918032787,8.030013
2040.7896174863388,8.031984
2040.8715846994535,8.031187
2040.9562841530055,8.014062
2041.041095890411,7.988307
2041.1205479452055,7.9670267
2041.2027397260274,7.9570055
2041.2849315068493,7.96907
2041.3698630136987,7.9843845
2041.4520547945206,8.001652
2041.5369863013698,8.011918
2041.6219178082192,8.016813
2041.704109589041,8.0245285
2041.7890410958903,8.026203
2041.8712328767124,8.023385
2041.9561643835616,8.014317
2042.041095890411,7.997413
2042.1205479452055,7.9793453
2042.2027397260274,7.963992
2042.2849315068493,7.9600034
2042.3698630136987,7.9797063
2042.4520547945206,8.001078
2042.5369863013698,8.006367
2042.6219178082192,8.011718
2042.704109589041,8.01909
2042.7890410958903,8.025167
2042.8712328767124,8.025385
2042.9561643835616,8.015351
2043.041095890411,7.9899282
2043.1205479452055,7.973108
2043.2027397260274,7.957577
2043.2849315068493,7.9479027
2043.3698630136987,7.9594984
2043.4520547945206,7.981371
2043.5369863013698,7.996101
2043.6219178082192,8.004917
2043.704109589041,8.012631
2043.7890410958903,8.019057
2043.8712328767124,8.03075
2043.9561643835616,8.027427
2044.0409836065573,8.011567
2044.122950819672,7.992801
2044.204918032787,7.9705877
2044.2868852459017,7.957767
2044.3715846994535,7.966856
2044.4535519125684,7.980819
2044.5382513661202,7.9893517
2044.622950819672,7.9985504
2044.704918032787,8.011019
2044.7896174863388,8.018928
2044.8715846994535,8.025469
2044.9562841530055,8.017082
2045.041095890411,8.002523
2045.1205479452055,7.9799085
2045.2027397260274,7.9655857
2045.2849315068493,7.950384
2045.3698630136987,7.95878
2045.4520547945206,7.977281
2045.5369863013698,7.989774
2045.6219178082192,7.9968696
2045.704109589041,8.004736
2045.7890410958903,8.012449
2045.8712328767124,8.013222
2045.9561643835616,8.001755
2046.041095890411,7.987578
2046.1205479452055,7.9602633
2046.2027397260274,7.9414697
2046.2849315068493,7.9375243
2046.3698630136987,7.9483333
2046.4520547945206,7.9753613
2046.5369863013698,7.9946947
2046.6219178082192,8.00593
2046.704109589041,8.012644
2046.7890410958903,8.017775
2046.8712328767124,8.020281
2046.9561643835616,8.008794
2047.041095890411,7.9939146
2047.1205479452055,7.9664044
2047.2027397260274,7.9470863
2047.2849315068493,7.9334645
2047.3698630136987,7.9473114
2047.4520547945206,7.970562
2047.5369863013698,7.9811606
2047.6219178082192,7.988105
2047.704109589041,7.999187
2047.7890410958903,8.01125
2047.8712328767124,8.013362
2047.9561643835616,8.006444
2048.0409836065573,7.9913898
2048.122950819672,7.9693737
2048.2049180327867,7.947067
2048.2868852459014,7.9462566
2048.3715846994537,7.963246
2048.4535519125684,7.97536
2048.53825136612,7.9811134
2048.622950819672,7.9859653
2048.7049180327867,7.9947968
2048.789617486339,8.00361
2048.8715846994537,8.011845
2048.9562841530055,8.002707
2049.041095890411,7.9768343
2049.1205479452055,7.9572973
2049.202739726027,7.9409714
2049.2849315068493,7.939348
2049.3698630136987,7.9516406
2049.4520547945203,7.9654527
2049.53698630137,7.978719
2049.621917808219,7.9882517
2049.7041095890413,7.995204
2049.7890410958903,8.004097
2049.8712328767124,8.014022
2049.956164383562,8.007695
2050.041095890411,7.987336
2050.1205479452055,7.955195
2050.202739726027,7.944008
2050.2849315068493,7.9416957
2050.3698630136987,7.9462724
2050.4520547945203,7.9631057
2050.53698630137,7.975468
2050.621917808219,7.985314
2050.7041095890413,7.996095
2050.7890410958903,8.005675
2050.8712328767124,8.005558
2050.956164383562,7.99504
2051.041095890411,7.9727592
2051.1205479452055,7.952314
2051.202739726027,7.9373317
2051.2849315068493,7.9277267
2051.3698630136987,7.9434114
2051.4520547945203,7.9595017
2051.53698630137,7.9705195
2051.621917808219,7.9823384
2051.7041095890413,7.9961705
2051.7890410958903,8.002486
2051.8712328767124,7.997835
2051.956164383562,7.986203
2052.0409836065573,7.964794
2052.122950819672,7.9352903
2052.2049180327867,7.9099503
2052.2868852459014,7.91879
2052.3715846994537,7.932523
2052.4535519125684,7.9551525
2052.53825136612,7.9708304
2052.622950819672,7.98082
2052.7049180327867,7.987189
2052.789617486339,7.9879847
2052.8715846994537,7.9842377
2052.9562841530055,7.97522
2053.041095890411,7.964464
2053.1205479452055,7.9395905
2053.202739726027,7.920723
2053.2849315068493,7.9130287
2053.3698630136987,7.927188
2053.4520547945203,7.9475236
2053.53698630137,7.9635997
2053.621917808219,7.975786
2053.7041095890413,7.988764
2053.7890410958903,7.986086
2053.8712328767124,7.9842606
2053.956164383562,7.9769106
2054.041095890411,7.9667325
2054.1205479452055,7.9452763
2054.202739726027,7.9241705
2054.2849315068493,7.922046
2054.3698630136987,7.933317
2054.4520547945203,7.952842
2054.53698630137,7.964635
2054.621917808219,7.9729514
2054.7041095890413,7.983749
2054.7890410958903,7.9904714
2054.8712328767124,7.990355
2054.956164383562,7.978864
2055.041095890411,7.9519444
2055.1205479452055,7.923408
2055.202739726027,7.9036813
2055.2849315068493,7.9033375
2055.3698630136987,7.9206223
2055.4520547945203,7.942675
2055.53698630137,7.9556007
2055.621917808219,7.9682403
2055.7041095890413,7.9788175
2055.7890410958903,7.9840884
2055.8712328767124,7.983472
2055.956164383562,7.9679017
2056.0409836065573,7.944468
2056.122950819672,7.926965
2056.2049180327867,7.9164186
2056.2868852459014,7.9046936
2056.3715846994537,7.9180303
2056.4535519125684,7.939004
2056.53825136612,7.951439
2056.622950819672,7.9616356
2056.7049180327867,7.9732
2056.789617486339,7.9826555
2056.8715846994537,7.9887285
2056.9562841530055,7.979202
2057.041095890411,7.9558024
2057.1205479452055,7.931784
2057.202739726027,7.910864
2057.2849315068493,7.904287
2057.3698630136987,7.920482
2057.4520547945203,7.938125
2057.53698630137,7.949525
2057.621917808219,7.9548965
2057.7041095890413,7.970621
2057.7890410958903,7.977095
2057.8712328767124,7.9743524
2057.956164383562,7.9559855
2058.041095890411,7.9288664
2058.1205479452055,7.9115825
2058.202739726027,7.900642
2058.2849315068493,7.913881
2058.3698630136987,7.928018
2058.4520547945203,7.9401054
2058.53698630137,7.95112
2058.621917808219,7.96397
2058.7041095890413,7.971688
2058.7890410958903,7.979315
2058.8712328767124,7.984384
2058.956164383562,7.97436
2059.041095890411,7.9489994
2059.1205479452055,7.9239526
2059.202739726027,7.9062157
2059.2849315068493,7.903648
2059.3698630136987,7.9197435
2059.4520547945203,7.9358807
2059.53698630137,7.944888
2059.621917808219,7.95122
2059.7041095890413,7.9551125
2059.7890410958903,7.9640584
2059.8712328767124,7.9610434
2059.956164383562,7.949853
2060.0409836065573,7.9253893
2060.122950819672,7.9029117
2060.2049180327867,7.889649
2060.2868852459014,7.8972263
2060.3715846994537,7.916351
2060.4535519125684,7.9332085
2060.53825136612,7.9421673
2060.622950819672,7.9465327
2060.7049180327867,7.95551
2060.789617486339,7.959371
2060.8715846994537,7.9527407
2060.9562841530055,7.9383073
2061.041095890411,7.920915
2061.1205479452055,7.9005394
2061.202739726027,7.887141
2061.2849315068493,7.8903866
2061.3698630136987,7.901013
2061.4520547945203,7.9195824
2061.53698630137,7.931308
2061.621917808219,7.937479
2061.7041095890413,7.9474545
2061.7890410958903,7.9552903
2061.8712328767124,7.9550996
2061.956164383562,7.9472218
2062.041095890411,7.926934
2062.1205479452055,7.898964
2062.202739726027,7.886273
2062.2849315068493,7.888207
2062.3698630136987,7.903915
2062.4520547945203,7.917943
2062.53698630137,7.929679
2062.621917808219,7.9375367
2062.7041095890413,7.9495654
2062.7890410958903,7.9558854
2062.8712328767124,7.9453
2062.956164383562,7.9318304
2063.041095890411,7.911818
2063.1205479452055,7.8863816
2063.202739726027,7.874765
2063.2849315068493,7.878786
2063.3698630136987,7.896961
2063.4520547945203,7.913563
2063.53698630137,7.923293
2063.621917808219,7.932196
2063.7041095890413,7.9409513
2063.7890410958903,7.952148
2063.8712328767124,7.9571905
2063.956164383562,7.9496493
2064.0409836065573,7.9312057
2064.122950819672,7.9073544
2064.2049180327867,7.8937597
2064.2868852459014,7.8857613
2064.3715846994537,7.9008393
2064.4535519125684,7.913096
2064.53825136612,7.9225707
2064.622950819672,7.9327116
2064.7049180327867,7.9429
2064.789617486339,7.9480147
2064.8715846994537,7.945984
2064.9562841530055,7.934386
2065.041095890411,7.916608
2065.1205479452055,7.8856683
2065.202739726027,7.8683324
2065.2849315068493,7.8680916
2065.3698630136987,7.884355
2065.4520547945203,7.905321
2065.53698630137,7.9215927
2065.621917808219,7.928785
2065.7041095890413,7.9368114
2065.7890410958903,7.946666
2065.8712328767124,7.942844
2065.956164383562,7.92921
2066.041095890411,7.901017
2066.1205479452055,7.876758
2066.202739726027,7.8697643
2066.2849315068493,7.872834
2066.3698630136987,7.8899207
2066.4520547945203,7.9061832
2066.53698630137,7.9184055
2066.621917808219,7.92657
2066.7041095890413,7.9343367
2066.7890410958903,7.943169
2066.8712328767124,7.941968
2066.956164383562,7.9299994
2067.041095890411,7.909003
2067.1205479452055,7.8934026
2067.202739726027,7.877246
2067.2849315068493,7.865057
2067.3698630136987,7.876752
2067.4520547945203,7.8947825
2067.53698630137,7.908259
2067.621917808219,7.9156103
2067.7041095890413,7.931767
2067.7890410958903,7.9391556
2067.8712328767124,7.9383664
2067.956164383562,7.924674
2068.0409836065573,7.8998857
2068.122950819672,7.875019
2068.2049180327867,7.8619237
2068.2868852459014,7.8688483
2068.3715846994537,7.8835373
2068.4535519125684,7.8986464
2068.53825136612,7.909262
2068.622950819672,7.91773
2068.7049180327867,7.92126
2068.789617486339,7.9286466
2068.8715846994537,7.927988
2068.9562841530055,7.9194255
2069.041095890411,7.8988104
2069.1205479452055,7.876394
2069.202739726027,7.861154
2069.2849315068493,7.8704553
2069.3698630136987,7.8829126
2069.4520547945203,7.898527
2069.53698630137,7.9090347
2069.621917808219,7.9223404
2069.7041095890413,7.9335976
2069.7890410958903,7.939901
2069.8712328767124,7.9335876
2069.956164383562,7.9209437
2070.041095890411,7.8992243
2070.1205479452055,7.8713117
2070.202739726027,7.857714
2070.2849315068493,7.8625603
2070.3698630136987,7.8770866
2070.4520547945203,7.891157
2070.53698630137,7.9017506
2070.621917808219,7.908078
2070.7041095890413,7.9191666
2070.7890410958903,7.927581
2070.8712328767124,7.930257
2070.956164383562,7.916793
