# year, Ptot_NPP_result
1976.0409836065573,3.8929386
1976.122950819672,2.491481
1976.204918032787,3.3704593
1976.2868852459017,4.719176
1976.3715846994535,13.528216
1976.4535519125684,33.279747
1976.5382513661202,32.913605
1976.622950819672,32.111504
1976.704918032787,26.24233
1976.7896174863388,22.562729
1976.8715846994535,15.837239
1976.9562841530055,17.18494
1977.041095890411,14.289512
1977.1205479452055,13.26348
1977.2027397260274,9.23024
1977.2849315068493,7.1461105
1977.3698630136987,7.174211
1977.4520547945206,10.318274
1977.5369863013698,16.608837
1977.6219178082192,21.449081
1977.704109589041,27.247316
1977.7890410958903,30.505878
1977.8712328767124,27.12505
1977.9561643835616,16.117973
1978.041095890411,9.449213
1978.1205479452055,6.5699477
1978.2027397260274,4.6295404
1978.2849315068493,4.3634677
1978.3698630136987,4.8614073
1978.4520547945206,10.872385
1978.5369863013698,20.17201
1978.6219178082192,26.320639
1978.704109589041,30.945591
1978.7890410958903,28.676111
1978.8712328767124,24.86597
1978.9561643835616,17.30573
1979.041095890411,12.054474
1979.1205479452055,7.6219053
1979.2027397260274,5.182047
1979.2849315068493,4.2639947
1979.3698630136987,5.6647778
1979.4520547945206,9.460208
1979.5369863013698,14.917871
1979.6219178082192,23.81924
1979.704109589041,30.78931
1979.7890410958903,28.641039
1979.8712328767124,24.81834
1979.9561643835616,16.286057
1980.0409836065573,9.965297
1980.122950819672,5.986604
1980.204918032787,4.441889
1980.2868852459017,4.287122
1980.3715846994535,6.005726
1980.4535519125684,11.4562845
1980.5382513661202,20.913872
1980.622950819672,21.560719
1980.704918032787,26.386353
1980.7896174863388,29.876022
1980.8715846994535,25.614084
1980.9562841530055,20.513681
1981.041095890411,13.0450735
1981.1205479452055,7.548606
1981.2027397260274,5.1765943
1981.2849315068493,4.1898627
1981.3698630136987,4.526226
1981.4520547945206,6.8540015
1981.5369863013698,14.621018
1981.6219178082192,19.852987
1981.704109589041,27.346096
1981.7890410958903,30.970768
1981.8712328767124,26.556347
1981.9561643835616,18.636501
1982.041095890411,11.414362
1982.1205479452055,6.745318
1982.2027397260274,4.4555783
1982.2849315068493,3.7015774
1982.3698630136987,4.8585076
1982.4520547945206,9.056425
1982.5369863013698,14.788091
1982.6219178082192,23.21541
1982.704109589041,30.399487
1982.7890410958903,30.648216
1982.8712328767124,25.841585
1982.9561643835616,18.135315
1983.041095890411,12.529107
1983.1205479452055,7.473006
1983.2027397260274,4.924934
1983.2849315068493,3.7786121
1983.3698630136987,4.448032
1983.4520547945206,8.703201
1983.5369863013698,14.377174
1983.6219178082192,24.355259
1983.704109589041,32.24304
1983.7890410958903,30.675817
1983.8712328767124,30.31878
1983.9561643835616,26.374323
1984.0409836065573,18.238924
1984.122950819672,12.591537
1984.204918032787,8.930793
1984.2868852459017,5.011187
1984.3715846994535,4.5290127
1984.4535519125684,6.30692
1984.5382513661202,14.342067
1984.622950819672,24.696503
1984.704918032787,31.690918
1984.7896174863388,34.912014
1984.8715846994535,30.03393
1984.9562841530055,20.987045
1985.041095890411,13.834658
1985.1205479452055,8.854888
1985.2027397260274,5.8623238
1985.2849315068493,4.1985655
1985.3698630136987,5.284403
1985.4520547945206,11.178807
1985.5369863013698,15.853134
1985.6219178082192,28.348114
1985.704109589041,32.722332
1985.7890410958903,31.328808
1985.8712328767124,26.702488
1985.9561643835616,20.04224
1986.041095890411,12.223159
1986.1205479452055,7.25673
1986.2027397260274,4.628933
1986.2849315068493,3.3794727
1986.3698630136987,4.739322
1986.4520547945206,7.102069
1986.5369863013698,10.493816
1986.6219178082192,15.378592
1986.704109589041,24.936457
1986.7890410958903,28.962229
1986.8712328767124,29.302456
1986.9561643835616,20.289919
1987.041095890411,13.20725
1987.1205479452055,7.875123
1987.2027397260274,4.8495417
1987.2849315068493,3.4584916
1987.3698630136987,3.6879823
1987.4520547945206,10.333021
1987.5369863013698,19.60266
1987.6219178082192,22.832714
1987.704109589041,30.23813
1987.7890410958903,27.95151
1987.8712328767124,24.312086
1987.9561643835616,21.469322
1988.0409836065573,14.763562
1988.122950819672,7.875032
1988.204918032787,4.924118
1988.2868852459017,4.004359
1988.3715846994535,4.287996
1988.4535519125684,6.493702
1988.5382513661202,12.473986
1988.622950819672,19.995655
1988.704918032787,22.727388
1988.7896174863388,24.15387
1988.8715846994535,24.58976
1988.9562841530055,22.089956
1989.041095890411,15.658641
1989.1205479452055,8.341726
1989.2027397260274,4.7948008
1989.2849315068493,3.8278396
1989.3698630136987,4.5167117
1989.4520547945206,8.986761
1989.5369863013698,16.49075
1989.6219178082192,21.76529
1989.704109589041,23.393833
1989.7890410958903,24.55648
1989.8712328767124,26.36108
1989.9561643835616,24.565609
1990.041095890411,15.353463
1990.1205479452055,12.15847
1990.2027397260274,7.60465
1990.2849315068493,5.2915545
1990.3698630136987,3.9866815
1990.4520547945206,6.103421
1990.5369863013698,11.936174
1990.6219178082192,19.984444
1990.704109589041,24.452257
1990.7890410958903,23.690947
1990.8712328767124,22.708656
1990.9561643835616,17.74827
1991.041095890411,11.987275
1991.1205479452055,7.305174
1991.2027397260274,5.4018955
1991.2849315068493,3.8848891
1991.3698630136987,3.7789073
1991.4520547945206,7.1145945
1991.5369863013698,16.359095
1991.6219178082192,25.74589
1991.704109589041,28.602726
1991.7890410958903,26.179552
1991.8712328767124,21.715294
1991.9561643835616,18.625832
1992.0409836065573,11.314875
1992.122950819672,7.3150897
1992.204918032787,4.901213
1992.2868852459017,3.5689037
1992.3715846994535,5.2909045
1992.4535519125684,12.955669
1992.5382513661202,17.586716
1992.622950819672,24.466578
1992.704918032787,27.961735
1992.7896174863388,27.633715
1992.8715846994535,24.80742
1992.9562841530055,18.422735
1993.041095890411,12.399819
1993.1205479452055,7.632521
1993.2027397260274,4.957713
1993.2849315068493,4.09335
1993.3698630136987,4.2247505
1993.4520547945206,6.7939153
1993.5369863013698,13.362161
1993.6219178082192,19.077143
1993.704109589041,22.845705
1993.7890410958903,23.65947
1993.8712328767124,22.62128
1993.9561643835616,14.178798
1994.041095890411,9.252348
1994.1205479452055,6.7370014
1994.2027397260274,5.3826017
1994.2849315068493,4.2210326
1994.3698630136987,6.1201468
1994.4520547945206,9.606035
1994.5369863013698,13.66854
1994.6219178082192,23.763563
1994.704109589041,29.224913
1994.7890410958903,27.133045
1994.8712328767124,23.64563
1994.9561643835616,15.32445
1995.041095890411,10.886082
1995.1205479452055,7.769637
1995.2027397260274,4.651612
1995.2849315068493,3.5012958
1995.3698630136987,4.5395675
1995.4520547945206,7.2643766
1995.5369863013698,15.83563
1995.6219178082192,26.794092
1995.704109589041,30.81052
1995.7890410958903,24.922346
1995.8712328767124,20.595562
1995.9561643835616,19.928524
1996.0409836065573,11.551664
1996.122950819672,6.937063
1996.204918032787,5.0151024
1996.2868852459017,3.6256688
1996.3715846994535,4.653928
1996.4535519125684,6.4221435
1996.5382513661202,9.407207
1996.622950819672,16.735891
1996.704918032787,22.09315
1996.7896174863388,19.213305
1996.8715846994535,18.714382
1996.9562841530055,11.265593
1997.041095890411,7.6518207
1997.1205479452055,4.815725
1997.2027397260274,4.257526
1997.2849315068493,5.064507
1997.3698630136987,5.7349358
1997.4520547945206,6.947336
1997.5369863013698,10.655491
1997.6219178082192,14.825958
1997.704109589041,17.758913
1997.7890410958903,26.313494
1997.8712328767124,25.355087
1997.9561643835616,15.920583
1998.041095890411,9.772148
1998.1205479452055,5.9622393
1998.2027397260274,4.326528
1998.2849315068493,3.878461
1998.3698630136987,4.3359942
1998.4520547945206,8.077283
1998.5369863013698,18.627716
1998.6219178082192,27.73463
1998.704109589041,35.92223
1998.7890410958903,32.016857
1998.8712328767124,16.593182
1998.9561643835616,9.384912
1999.041095890411,5.875248
1999.1205479452055,4.3554535
1999.2027397260274,3.3360546
1999.2849315068493,3.837695
1999.3698630136987,5.5974417
1999.4520547945206,7.732314
1999.5369863013698,10.083703
1999.6219178082192,15.013081
1999.704109589041,24.756256
1999.7890410958903,25.744148
1999.8712328767124,19.58627
1999.9561643835616,11.400071
2000.0409836065573,7.7265387
2000.122950819672,4.999958
2000.204918032787,3.884373
2000.2868852459017,4.2688427
2000.3715846994535,6.943414
2000.4535519125684,9.256974
2000.5382513661202,15.120344
2000.622950819672,19.714907
2000.704918032787,24.088291
2000.7896174863388,20.937836
2000.8715846994535,21.125664
2000.9562841530055,17.745016
2001.041095890411,11.417479
2001.1205479452055,7.430153
2001.2027397260274,5.250753
2001.2849315068493,4.7153664
2001.3698630136987,5.9833603
2001.4520547945206,9.252248
2001.5369863013698,15.670439
2001.6219178082192,21.766329
2001.704109589041,26.508028
2001.7890410958903,27.309427
2001.8712328767124,23.851072
2001.9561643835616,14.1073
2002.041095890411,8.706895
2002.1205479452055,5.609257
2002.2027397260274,3.819189
2002.2849315068493,3.8182998
2002.3698630136987,4.7097855
2002.4520547945206,6.792209
2002.5369863013698,11.126679
2002.6219178082192,16.929333
2002.704109589041,20.225084
2002.7890410958903,24.618036
2002.8712328767124,25.67608
2002.9561643835616,18.175442
2003.041095890411,14.92855
2003.1205479452055,9.483619
2003.2027397260274,6.054555
2003.2849315068493,4.93961
2003.3698630136987,5.4537425
2003.4520547945206,9.316798
2003.5369863013698,12.2887745
2003.6219178082192,18.755407
2003.704109589041,26.951263
2003.7890410958903,28.035545
2003.8712328767124,18.07667
2003.9561643835616,9.959202
2004.0409836065573,5.727733
2004.122950819672,4.0694475
2004.204918032787,3.319528
2004.2868852459017,4.5683036
2004.3715846994535,6.120392
2004.4535519125684,12.40919
2004.5382513661202,19.601685
2004.622950819672,18.575375
2004.704918032787,21.71546
2004.7896174863388,16.698011
2004.8715846994535,11.617907
2004.9562841530055,8.508945
2005.041095890411,5.8055964
2005.1205479452055,4.108023
2005.2027397260274,3.5240867
2005.2849315068493,5.335124
2005.3698630136987,6.9065714
2005.4520547945206,7.4496436
2005.5369863013698,14.135344
2005.6219178082192,21.406082
2005.704109589041,23.741785
2005.7890410958903,24.364275
2005.8712328767124,22.549894
2005.9561643835616,13.240683
2006.041095890411,7.9012675
2006.1205479452055,4.937059
2006.2027397260274,3.657276
2006.2849315068493,3.9050853
2006.3698630136987,5.789366
2006.4520547945206,8.886221
2006.5369863013698,16.489136
2006.6219178082192,19.282198
2006.704109589041,25.837296
2006.7890410958903,26.420155
2006.8712328767124,26.306852
2006.9561643835616,19.240015
2007.041095890411,10.629994
2007.1205479452055,6.6400523
2007.2027397260274,5.183071
2007.2849315068493,4.324829
2007.3698630136987,4.475293
2007.4520547945206,12.140277
2007.5369863013698,19.997084
2007.6219178082192,22.98516
2007.704109589041,26.315647
2007.7890410958903,28.79298
2007.8712328767124,25.991573
2007.9561643835616,19.050638
2008.0409836065573,11.063882
2008.122950819672,6.8085623
2008.204918032787,4.4903827
2008.2868852459017,3.942043
2008.3715846994535,4.868909
2008.4535519125684,10.873122
2008.5382513661202,16.28459
2008.622950819672,16.176825
2008.704918032787,28.227713
2008.7896174863388,30.512955
2008.8715846994535,22.587828
2008.9562841530055,13.732783
2009.041095890411,9.868649
2009.1205479452055,6.4091635
2009.2027397260274,4.537071
2009.2849315068493,3.5102038
2009.3698630136987,5.309164
2009.4520547945206,9.148705
2009.5369863013698,14.663507
2009.6219178082192,22.29435
2009.704109589041,29.220013
2009.7890410958903,27.881227
2009.8712328767124,21.265621
2009.9561643835616,16.811735
2010.041095890411,9.765352
2010.1205479452055,5.4983106
2010.2027397260274,4.727192
2010.2849315068493,4.6027293
2010.3698630136987,5.930066
2010.4520547945206,8.823225
2010.5369863013698,16.885279
2010.6219178082192,25.091003
2010.704109589041,27.096817
2010.7890410958903,27.710503
2010.8712328767124,20.707825
2010.9561643835616,12.151943
2011.041095890411,7.364635
2011.1205479452055,5.535943
2011.2027397260274,4.3005223
2011.2849315068493,4.6471076
2011.3698630136987,5.3206587
2011.4520547945206,9.294583
2011.5369863013698,15.063724
2011.6219178082192,19.844505
2011.704109589041,24.104189
2011.7890410958903,24.169315
2011.8712328767124,16.751638
2011.9561643835616,9.0539665
2012.0409836065573,5.6391234
2012.122950819672,3.862833
2012.204918032787,3.2605128
2012.2868852459017,4.3082824
2012.3715846994535,6.862961
2012.4535519125684,9.018863
2012.5382513661202,13.792302
2012.622950819672,17.358187
2012.704918032787,24.947184
2012.7896174863388,26.306545
2012.8715846994535,19.361044
2012.9562841530055,11.322452
2013.041095890411,7.2521787
2013.1205479452055,4.438498
2013.2027397260274,4.0744524
2013.2849315068493,4.715965
2013.3698630136987,4.9799676
2013.4520547945206,6.758298
2013.5369863013698,14.9827175
2013.6219178082192,17.521132
2013.704109589041,18.835625
2013.7890410958903,20.857609
2013.8712328767124,19.403688
2013.9561643835616,12.738511
2014.041095890411,8.932345
2014.1205479452055,5.933516
2014.2027397260274,4.5899687
2014.2849315068493,4.5806894
2014.3698630136987,7.3793955
2014.4520547945206,7.9939957
2014.5369863013698,11.52805
2014.6219178082192,17.419655
2014.704109589041,21.32078
2014.7890410958903,26.092611
2014.8712328767124,25.394176
2014.9561643835616,18.710022
2015.041095890411,12.502849
2015.1205479452055,8.175796
2015.2027397260274,5.4462967
2015.2849315068493,4.0974627
2015.3698630136987,5.1805477
2015.4520547945206,7.480169
2015.5369863013698,11.909973
2015.6219178082192,15.525437
2015.704109589041,21.522451
2015.7890410958903,20.383133
2015.8712328767124,17.013037
2015.9561643835616,12.367526
2016.0409836065573,7.5826054
2016.122950819672,6.019672
2016.204918032787,5.578288
2016.2868852459017,4.716682
2016.3715846994535,6.6506157
2016.4535519125684,8.347872
2016.5382513661202,12.329764
2016.622950819672,19.662151
2016.704918032787,23.37882
2016.7896174863388,24.839386
2016.8715846994535,20.797619
2016.9562841530055,12.994942
2017.041095890411,9.326558
2017.1205479452055,6.5003824
2017.2027397260274,4.379924
2017.2849315068493,3.5744255
2017.3698630136987,5.8563576
2017.4520547945206,9.790071
2017.5369863013698,15.632929
2017.6219178082192,25.759789
2017.704109589041,28.463215
2017.7890410958903,28.374931
2017.8712328767124,19.821074
2017.9561643835616,12.053013
2018.041095890411,7.856136
2018.1205479452055,4.91391
2018.2027397260274,3.8460436
2018.2849315068493,4.9489484
2018.3698630136987,6.214705
2018.4520547945206,8.024646
2018.5369863013698,15.309102
2018.6219178082192,20.548069
2018.704109589041,28.499447
2018.7890410958903,27.201105
2018.8712328767124,14.495094
2018.9561643835616,8.501937
2019.041095890411,5.876048
2019.1205479452055,3.99391
2019.2027397260274,3.3351047
2019.2849315068493,4.119747
2019.3698630136987,6.1649714
2019.4520547945206,9.267296
2019.5369863013698,14.043193
2019.6219178082192,15.16566
2019.704109589041,18.250917
2019.7890410958903,19.336233
2019.8712328767124,15.33733
2019.9561643835616,11.233511
2020.0409836065573,8.243501
2020.122950819672,5.8503737
2020.204918032787,4.481385
2020.2868852459017,5.2470407
2020.3715846994535,6.7549486
2020.4535519125684,8.361007
2020.5382513661202,13.141975
2020.622950819672,19.6607
2020.704918032787,25.34911
2020.7896174863388,25.483255
2020.8715846994535,19.206638
2020.9562841530055,12.6805105
2021.041095890411,8.314618
2021.1205479452055,5.597743
2021.2027397260274,4.4534907
2021.2849315068493,5.2449164
2021.3698630136987,7.0907154
2021.4520547945206,7.2005363
2021.5369863013698,8.467555
2021.6219178082192,11.698583
2021.704109589041,19.200445
2021.7890410958903,25.05388
2021.8712328767124,17.88608
2021.9561643835616,12.335387
2022.041095890411,7.8696485
2022.1205479452055,5.1362658
2022.2027397260274,4.013652
2022.2849315068493,3.8176467
2022.3698630136987,5.788728
2022.4520547945206,8.652748
2022.5369863013698,12.558381
2022.6219178082192,16.092878
2022.704109589041,24.263826
2022.7890410958903,28.940626
2022.8712328767124,23.859509
2022.9561643835616,14.122054
2023.041095890411,10.22677
2023.1205479452055,6.3986344
2023.2027397260274,4.711535
