# year, Ptot_c_result
2023.2849315068493,2.7903924
2023.3698630136987,4.2599263
2023.4520547945206,5.5935965
2023.5369863013698,9.844362
2023.6219178082192,16.753414
2023.704109589041,24.328915
2023.7890410958903,18.824938
2023.8712328767124,10.4309845
2023.9561643835616,6.4935536
2024.0409836065573,4.8049583
2024.122950819672,3.5171978
2024.204918032787,3.0264127
2024.2868852459017,3.9801044
2024.3715846994535,5.476905
2024.4535519125684,7.7772093
2024.5382513661202,12.691236
2024.622950819672,16.641521
2024.704918032787,17.208385
2024.7896174863388,16.368984
2024.8715846994535,10.409433
2024.9562841530055,6.3512526
2025.041095890411,4.0877733
2025.1205479452055,3.057609
2025.2027397260274,2.5398095
2025.2849315068493,3.1490934
2025.3698630136987,4.8530316
2025.4520547945206,5.1840653
2025.5369863013698,7.1814494
2025.6219178082192,13.750767
2025.704109589041,20.244345
2025.7890410958903,24.005625
2025.8712328767124,19.782541
2025.9561643835616,11.009063
2026.041095890411,7.9764905
2026.1205479452055,5.28962
2026.2027397260274,3.703615
2026.2849315068493,3.3191335
2026.3698630136987,4.327044
2026.4520547945206,5.567265
2026.5369863013698,7.7479563
2026.6219178082192,14.403266
2026.704109589041,21.847973
2026.7890410958903,19.162876
2026.8712328767124,12.739629
2026.9561643835616,7.6727977
2027.041095890411,4.7410154
2027.1205479452055,3.1513567
2027.2027397260274,2.208374
2027.2849315068493,2.253919
2027.3698630136987,4.0783544
2027.4520547945206,5.9914823
2027.5369863013698,7.201969
2027.6219178082192,10.339438
2027.704109589041,18.065008
2027.7890410958903,22.549923
2027.8712328767124,12.951088
2027.9561643835616,7.6586275
2028.0409836065573,4.9558706
2028.122950819672,3.537508
2028.204918032787,2.8468359
2028.2868852459017,3.228365
2028.3715846994535,4.409254
2028.4535519125684,6.3762813
2028.5382513661202,10.092031
2028.622950819672,13.879716
2028.704918032787,22.258762
2028.7896174863388,23.004496
2028.8715846994535,11.835332
2028.9562841530055,6.471708
2029.041095890411,3.7970278
2029.1205479452055,2.715487
2029.2027397260274,2.5170627
2029.2849315068493,3.60433
2029.3698630136987,5.500132
2029.4520547945206,6.114114
2029.5369863013698,8.813374
2029.6219178082192,12.407231
2029.704109589041,20.170828
2029.7890410958903,20.587666
2029.8712328767124,14.049867
2029.9561643835616,9.372329
2030.041095890411,5.8737736
2030.1205479452055,3.9425657
2030.2027397260274,2.9141743
2030.2849315068493,3.364276
2030.3698630136987,4.504771
2030.4520547945206,5.1693845
2030.5369863013698,7.246495
2030.6219178082192,14.06456
2030.704109589041,21.542564
2030.7890410958903,18.294168
2030.8712328767124,12.89076
2030.9561643835616,7.0075974
2031.041095890411,4.725006
2031.1205479452055,3.3284318
2031.2027397260274,2.877927
2031.2849315068493,3.538369
2031.3698630136987,5.437479
2031.4520547945206,6.7336507
2031.5369863013698,9.316444
2031.6219178082192,15.396704
2031.704109589041,23.225191
2031.7890410958903,20.973692
2031.8712328767124,12.957182
2031.9561643835616,7.8434677
2032.0409836065573,5.4729443
2032.122950819672,3.9700427
2032.204918032787,3.0551977
2032.2868852459017,3.3036327
2032.3715846994535,4.3571086
2032.4535519125684,6.0537553
2032.5382513661202,11.072418
2032.622950819672,16.980915
2032.704918032787,20.402113
2032.7896174863388,17.13413
2032.8715846994535,9.07671
2032.9562841530055,5.854831
2033.041095890411,4.0520353
2033.1205479452055,3.0135014
2033.2027397260274,3.1864214
2033.2849315068493,4.2678246
2033.3698630136987,5.5615673
2033.4520547945206,6.5562716
2033.5369863013698,7.407658
2033.6219178082192,10.404522
2033.704109589041,17.53956
2033.7890410958903,18.872639
2033.8712328767124,11.798555
2033.9561643835616,6.954685
2034.041095890411,4.2766566
2034.1205479452055,3.0190432
2034.2027397260274,2.8730333
2034.2849315068493,3.4630082
2034.3698630136987,5.129433
2034.4520547945206,6.490533
2034.5369863013698,8.413843
2034.6219178082192,10.605839
2034.704109589041,13.055263
2034.7890410958903,14.306045
2034.8712328767124,14.241659
2034.9561643835616,9.443009
2035.041095890411,6.361691
2035.1205479452055,4.4513855
2035.2027397260274,3.3506403
2035.2849315068493,3.1816053
2035.3698630136987,4.9788857
2035.4520547945206,7.2198176
2035.5369863013698,9.492909
2035.6219178082192,16.32457
2035.704109589041,26.07394
2035.7890410958903,19.302328
2035.8712328767124,11.462543
2035.9561643835616,6.670087
2036.0409836065573,3.7510483
2036.122950819672,2.4909804
2036.204918032787,2.3231359
2036.2868852459017,3.762028
2036.3715846994535,5.2655544
2036.4535519125684,5.623803
2036.5382513661202,6.4870005
2036.622950819672,11.313592
2036.704918032787,14.175524
2036.7896174863388,17.919264
2036.8715846994535,13.780635
2036.9562841530055,7.289913
2037.041095890411,4.397873
2037.1205479452055,3.0318415
2037.2027397260274,2.420188
2037.2849315068493,3.8260093
2037.3698630136987,5.3518424
2037.4520547945206,5.400023
2037.5369863013698,7.299025
2037.6219178082192,15.925102
2037.704109589041,24.156475
2037.7890410958903,24.536394
2037.8712328767124,15.749868
2037.9561643835616,7.844044
2038.041095890411,4.8671236
2038.1205479452055,3.492774
2038.2027397260274,2.6458344
2038.2849315068493,2.6811569
2038.3698630136987,4.233556
2038.4520547945206,5.508515
2038.5369863013698,9.786385
2038.6219178082192,17.586506
2038.704109589041,23.617304
2038.7890410958903,22.26287
2038.8712328767124,16.232328
2038.9561643835616,9.552009
2039.041095890411,5.4727964
2039.1205479452055,3.2471113
2039.2027397260274,2.407778
2039.2849315068493,3.1757
2039.3698630136987,4.418421
2039.4520547945206,5.7096696
2039.5369863013698,7.4607434
2039.6219178082192,10.053564
2039.704109589041,13.584572
2039.7890410958903,13.703142
2039.8712328767124,8.515573
2039.9561643835616,5.6646957
2040.0409836065573,4.2116733
2040.122950819672,3.191125
2040.204918032787,2.723919
2040.2868852459017,4.1418457
2040.3715846994535,5.8935947
2040.4535519125684,6.178499
2040.5382513661202,10.883071
2040.622950819672,15.906081
2040.704918032787,16.98585
2040.7896174863388,14.714224
2040.8715846994535,10.11473
2040.9562841530055,6.572805
2041.041095890411,4.3103194
2041.1205479452055,3.379317
2041.2027397260274,3.546655
2041.2849315068493,4.3992157
2041.3698630136987,5.1010966
2041.4520547945206,5.488587
2041.5369863013698,6.971425
2041.6219178082192,11.663331
2041.704109589041,18.75532
2041.7890410958903,18.217138
2041.8712328767124,12.997201
2041.9561643835616,7.85754
2042.041095890411,5.2692747
2042.1205479452055,3.783319
2042.2027397260274,3.531488
2042.2849315068493,4.562181
2042.3698630136987,5.160895
2042.4520547945206,5.511308
2042.5369863013698,6.9492517
2042.6219178082192,10.487644
2042.704109589041,16.909897
2042.7890410958903,21.786026
2042.8712328767124,14.700847
2042.9561643835616,8.748873
2043.041095890411,4.764738
2043.1205479452055,3.6048112
2043.2027397260274,3.335099
2043.2849315068493,3.815988
2043.3698630136987,5.3205137
2043.4520547945206,6.7572007
2043.5369863013698,8.575984
2043.6219178082192,12.248351
2043.704109589041,15.488027
2043.7890410958903,18.332573
2043.8712328767124,19.388979
2043.9561643835616,10.2519455
2044.0409836065573,6.1949778
2044.122950819672,4.2301874
2044.204918032787,3.1018631
2044.2868852459017,2.8158414
2044.3715846994535,4.4857802
2044.4535519125684,5.862556
2044.5382513661202,7.221835
2044.622950819672,11.771339
2044.704918032787,19.938974
2044.7896174863388,20.804678
2044.8715846994535,16.419199
2044.9562841530055,8.821245
2045.041095890411,5.6236653
2045.1205479452055,3.7562733
2045.2027397260274,2.953239
2045.2849315068493,2.9417777
2045.3698630136987,4.742234
2045.4520547945206,5.854462
2045.5369863013698,7.5879908
2045.6219178082192,11.436233
2045.704109589041,17.670305
2045.7890410958903,16.154102
2045.8712328767124,10.429874
2045.9561643835616,6.270884
2046.041095890411,4.3867083
2046.1205479452055,2.8550963
2046.2027397260274,2.7502885
2046.2849315068493,3.7950227
2046.3698630136987,5.146653
2046.4520547945206,6.987718
2046.5369863013698,10.2680235
2046.6219178082192,13.953312
2046.704109589041,18.379236
2046.7890410958903,17.926006
2046.8712328767124,13.436634
2046.9561643835616,7.963575
2047.041095890411,5.4189243
2047.1205479452055,3.579377
2047.2027397260274,2.726822
2047.2849315068493,2.952766
2047.3698630136987,4.3182006
2047.4520547945206,4.873848
2047.5369863013698,5.990191
2047.6219178082192,10.399662
2047.704109589041,18.649496
2047.7890410958903,19.2508
2047.8712328767124,13.3731365
2047.9561643835616,8.441028
2048.0409836065573,5.2033477
2048.122950819672,3.2163978
2048.2049180327867,2.226389
2048.2868852459014,3.2154012
2048.3715846994537,4.886576
2048.4535519125684,5.6510363
2048.53825136612,7.18982
2048.622950819672,11.353132
2048.7049180327867,18.078274
2048.789617486339,19.867573
2048.8715846994537,14.3517475
2048.9562841530055,8.190142
2049.041095890411,4.7474985
2049.1205479452055,3.394688
2049.202739726027,2.9707823
2049.2849315068493,4.236379
2049.3698630136987,5.184529
2049.4520547945203,5.8246565
2049.53698630137,8.080396
2049.621917808219,11.7358885
2049.7041095890413,19.48784
2049.7890410958903,22.664988
2049.8712328767124,16.669083
2049.956164383562,9.390346
2050.041095890411,5.6333394
2050.1205479452055,3.3494198
2050.202739726027,3.0775821
2050.2849315068493,3.408059
2050.3698630136987,4.588461
2050.4520547945203,5.4466124
2050.53698630137,6.2291837
2050.621917808219,12.730801
2050.7041095890413,22.413904
2050.7890410958903,21.502947
2050.8712328767124,14.234503
2050.956164383562,8.146435
2051.041095890411,5.155202
2051.1205479452055,3.8619359
2051.202739726027,3.2208483
2051.2849315068493,3.375092
2051.3698630136987,4.898947
2051.4520547945203,5.3509393
2051.53698630137,6.934642
2051.621917808219,13.1276245
2051.7041095890413,25.012337
2051.7890410958903,20.74036
2051.8712328767124,11.746188
2051.956164383562,6.9301243
2052.0409836065573,4.283828
2052.122950819672,2.7322192
2052.2049180327867,2.5058575
2052.2868852459014,4.5058455
2052.3715846994537,6.008235
2052.4535519125684,7.039321
2052.53825136612,8.124924
2052.622950819672,12.582323
2052.7049180327867,15.219036
2052.789617486339,12.919003
2052.8715846994537,9.043813
2052.9562841530055,6.244098
2053.041095890411,4.499889
2053.1205479452055,2.83451
2053.202739726027,2.5618343
2053.2849315068493,3.728572
2053.3698630136987,5.5009093
2053.4520547945203,6.42443
2053.53698630137,8.033015
2053.621917808219,13.109335
2053.7041095890413,19.995333
2053.7890410958903,14.478506
2053.8712328767124,9.594754
2053.956164383562,6.974881
2054.041095890411,5.097214
2054.1205479452055,3.422057
2054.202739726027,2.80075
2054.2849315068493,4.4478664
2054.3698630136987,5.678919
2054.4520547945203,6.2944365
2054.53698630137,8.021028
2054.621917808219,13.093999
2054.7041095890413,17.829605
2054.7890410958903,19.222946
2054.8712328767124,11.461352
2054.956164383562,6.8446493
2055.041095890411,4.21148
2055.1205479452055,2.7988605
2055.202739726027,2.6320448
2055.2849315068493,3.9172578
2055.3698630136987,5.3192143
2055.4520547945203,5.985121
2055.53698630137,7.4107714
2055.621917808219,14.642257
2055.7041095890413,19.905731
2055.7890410958903,18.146654
2055.8712328767124,11.643395
2055.956164383562,7.2145357
2056.0409836065573,4.6577263
2056.122950819672,3.3902547
2056.2049180327867,2.989109
2056.2868852459014,3.4954507
2056.3715846994537,5.158192
2056.4535519125684,6.124116
2056.53825136612,7.900851
2056.622950819672,12.338697
2056.7049180327867,17.640724
2056.789617486339,20.344572
2056.8715846994537,16.109922
2056.9562841530055,8.939193
2057.041095890411,5.2459655
2057.1205479452055,3.576793
2057.202739726027,2.7130818
2057.2849315068493,2.8593426
2057.3698630136987,4.3930154
2057.4520547945203,4.854899
2057.53698630137,5.9990835
2057.621917808219,9.108133
2057.7041095890413,16.953434
2057.7890410958903,15.643498
2057.8712328767124,10.711088
2057.956164383562,7.5197086
2058.041095890411,4.591324
2058.1205479452055,3.4721262
2058.202739726027,3.3877542
2058.2849315068493,4.231949
2058.3698630136987,5.06277
2058.4520547945203,5.9689856
2058.53698630137,9.058616
2058.621917808219,16.62331
2058.7041095890413,20.910526
2058.7890410958903,22.879488
2058.8712328767124,15.199961
2058.956164383562,8.400206
2059.041095890411,4.9415736
2059.1205479452055,3.2022748
2059.202739726027,2.4969993
2059.2849315068493,3.1054516
2059.3698630136987,4.3394756
2059.4520547945203,4.943981
2059.53698630137,5.2238555
2059.621917808219,10.858886
2059.7041095890413,14.599969
2059.7890410958903,15.555034
2059.8712328767124,10.478233
2059.956164383562,6.69484
2060.0409836065573,4.19241
2060.122950819672,3.1476717
2060.2049180327867,3.1528623
2060.2868852459014,4.240616
2060.3715846994537,5.4236217
2060.4535519125684,5.526669
2060.53825136612,7.4439325
2060.622950819672,10.86627
2060.7049180327867,18.14353
2060.789617486339,15.634864
2060.8715846994537,8.832045
2060.9562841530055,5.8775854
2061.041095890411,4.0232034
2061.1205479452055,2.946088
2061.202739726027,3.1045942
2061.2849315068493,4.529712
2061.3698630136987,5.471761
2061.4520547945203,6.430994
2061.53698630137,6.628002
2061.621917808219,9.142411
2061.7041095890413,15.026399
2061.7890410958903,14.67875
2061.8712328767124,10.385184
2061.956164383562,6.112192
2062.041095890411,3.563927
2062.1205479452055,2.1595774
2062.202739726027,2.3412383
2062.2849315068493,3.5403547
2062.3698630136987,4.5828695
2062.4520547945203,5.319351
2062.53698630137,6.444825
2062.621917808219,11.102257
2062.7041095890413,19.031656
2062.7890410958903,17.405674
2062.8712328767124,8.872317
2062.956164383562,5.8668633
2063.041095890411,4.101313
2063.1205479452055,3.219875
2063.202739726027,3.415377
2063.2849315068493,4.4420834
2063.3698630136987,5.6082506
2063.4520547945203,6.050494
2063.53698630137,7.0601277
2063.621917808219,10.577398
2063.7041095890413,14.386221
2063.7890410958903,17.151514
2063.8712328767124,15.6599
2063.956164383562,9.537153
2064.0409836065573,5.2603245
2064.122950819672,3.3023767
2064.2049180327867,2.4812005
2064.2868852459014,2.9077072
2064.3715846994537,4.6576886
2064.4535519125684,5.6828594
2064.53825136612,6.9219084
2064.622950819672,11.47877
2064.7049180327867,17.822302
2064.789617486339,17.387188
2064.8715846994537,9.826906
2064.9562841530055,6.0047026
2065.041095890411,4.1292458
2065.1205479452055,2.9125018
2065.202739726027,2.9188666
2065.2849315068493,4.3672276
2065.3698630136987,5.7784677
2065.4520547945203,6.600545
2065.53698630137,7.698564
2065.621917808219,10.110859
2065.7041095890413,15.313983
2065.7890410958903,17.233034
2065.8712328767124,10.020686
2065.956164383562,5.8215947
2066.041095890411,3.510233
2066.1205479452055,2.7691662
2066.202739726027,3.0711706
2066.2849315068493,4.7303505
2066.3698630136987,5.625614
2066.4520547945203,5.3656034
2066.53698630137,6.6694036
2066.621917808219,11.179
2066.7041095890413,15.707832
2066.7890410958903,17.55303
2066.8712328767124,13.2709
2066.956164383562,8.075105
2067.041095890411,4.9139724
2067.1205479452055,3.6192834
2067.202739726027,2.92835
2067.2849315068493,2.967455
2067.3698630136987,4.336687
2067.4520547945203,4.64362
2067.53698630137,5.328057
2067.621917808219,10.377215
2067.7041095890413,19.631369
2067.7890410958903,19.4111
2067.8712328767124,11.731789
2067.956164383562,6.492095
2068.0409836065573,4.103567
2068.122950819672,2.9920073
2068.2049180327867,3.4220707
2068.2868852459014,5.0744996
2068.3715846994537,5.772748
2068.4535519125684,5.417925
2068.53825136612,6.3301992
2068.622950819672,10.33481
2068.7049180327867,11.638623
2068.789617486339,13.599576
2068.8715846994537,10.245136
2068.9562841530055,6.8047423
2069.041095890411,4.4000597
2069.1205479452055,3.160122
2069.202739726027,3.2990375
2069.2849315068493,4.830004
2069.3698630136987,5.5634227
2069.4520547945203,5.684558
2069.53698630137,7.49944
2069.621917808219,13.512468
2069.7041095890413,19.236773
2069.7890410958903,16.970835
2069.8712328767124,10.542226
2069.956164383562,6.745629
2070.041095890411,4.599031
2070.1205479452055,3.3039505
2070.202739726027,3.5855467
2070.2849315068493,4.852517
2070.3698630136987,5.5406666
2070.4520547945203,6.0401316
2070.53698630137,6.325752
2070.621917808219,8.143831
2070.7041095890413,13.523985
2070.7890410958903,14.471856
2070.8712328767124,11.994226
2070.956164383562,7.141706
